"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\mia-sql\processor(_total)\% processor time","\\mia-sql\logicaldisk(_total)\disk reads/sec","\\mia-sql\logicaldisk(_total)\disk writes/sec","\\mia-sql\sqlserver:databases(_total)\log bytes flushed/sec"
"12/19/2017 15:48:59.164"," "," "," "," "
"12/19/2017 15:49:00.164","1.9568164237024677","3.0006187275816276","13.00268115285372","0"
"12/19/2017 15:49:01.179","4.6125764096341175","0","22.646949903863696","0"
"01/03/2018 07:48:33.172","99.999928174209543","0","2.9676611002247411","0"
"01/03/2018 07:48:34.203","7.2074033085639204","0","6.8592334395077339","0"
"01/03/2018 07:48:35.234","2.2677612903676314","0","4.8490791986528095","0"
"01/03/2018 07:48:36.250","1.5327801313631539","0","2.9538740747727932","0"
"12/19/2017 15:48:56.258"," ","39.373140234329242","175.21047404276513","218725.66862974581"
"12/19/2017 15:48:57.289","24.232343929781496","0.97007399336391775","485.0369966819589","299993.44229980482"
"12/19/2017 15:48:58.289","35.158331417561492","0","51.996329059168424","1992051.3611739012"
"12/19/2017 15:48:59.305","33.84464265423712","0","82.696765138824247","4584897.6804738762"
"12/19/2017 15:49:00.320","31.542269894647092","0.98142775558169859","72.625653913045696","3934504.6150168064"
"01/03/2018 07:48:42.327","99.999939580502584","0","130.43823333252729","2169464.7507230039"
"01/03/2018 07:48:43.343","3.8332858521081148","0.98458824027497593","19.691764805499517","270706.62913416297"
"01/03/2018 07:48:44.343","31.250281873844322","0","55.996483420841173","2963781.8744982816"
"01/03/2018 07:48:45.343","39.065089733686321","0","128.0073476217535","2772639.1494871806"
"01/03/2018 07:48:46.358","31.150414105595225","0","84.689139159519385","2441316.0889176875"
"12/19/2017 15:48:56.336"," ","0","46.999238612334487","2301914.7089817147"
"12/19/2017 15:48:57.351","33.844004285185392","0","38.402684643061811","2176955.6320983423"
"12/19/2017 15:48:58.351","29.687619531046792","0","36.998275880343982","2007970.4285780285"
"12/19/2017 15:48:59.351","30.468875156024723","0","32.987339459115589","1749856.405111718"
"12/19/2017 15:49:00.351","30.083377729994709","1.0003598294306462","68.02446840128394","2553238.3998524267"
"01/03/2018 07:48:52.385","99.999943280104304","0","29.540331759588572","1596658.8703166635"
"01/03/2018 07:48:53.386","30.471913527934479","0","163.9831425329476","1659733.3794085968"
"01/03/2018 07:48:54.401","28.458255906190999","0","100.44052030552825","1591166.9061483778"
"01/03/2018 07:48:55.401","30.85970495938669","0","30.984715239972122","1542918.8781174247"
"01/03/2018 07:48:56.417","28.46349658072128","0","28.562530569294569","1416008.1361845699"
"12/19/2017 15:48:56.383"," ","0","25.004595844716256","1353464.7668241423"
"12/19/2017 15:48:57.398","34.229559797968975","0","21.661229205835337","1028396.3945868588"
"12/19/2017 15:48:58.414","29.998711114730181","0","26.58407879520955","1437729.9953576322"
"12/19/2017 15:48:59.414","28.515730077977885","0","38.99858435138804","2128818.7238803231"
"12/19/2017 15:49:00.414","35.158104478211925","0.99995750180617327","292.98754802920877","1117136.5216978278"
"01/03/2018 07:49:02.452","99.99994574661504","0","164.42534984482731","1351564.4175172192"
"01/03/2018 07:49:03.466","30.259959043595654","0","11.850363095125234","485390.87237632956"
"01/03/2018 07:49:04.514","29.172958692500494","0","84.002329155490216","589421.4339579416"
"01/03/2018 07:49:05.515","36.009751389705883","0","32.958176074561386","699016.94749363058"
"01/03/2018 07:49:06.528","26.745347160554655","0","25.664655347369134","1235693.9288480992"
"12/19/2017 15:49:56.492"," ","0","228.41536349302226","1149323.0979621313"
"12/19/2017 15:49:57.492","32.031440311967131","0","127.99799043155022","1186285.3753196073"
"12/19/2017 15:49:58.508","29.615275739484169","0","24.617323703036302","1272002.717752537"
"12/19/2017 15:49:59.523","27.692122584141508","0","25.600587316858569","1233617.4703134114"
"12/19/2017 15:50:00.523","26.562573437426561","0","27.00007560021168","1169923.2757851721"
"01/03/2018 07:49:12.569","99.999943278314348","0","20.000612018727772","1105953.8421875709"
"01/03/2018 07:49:13.585","26.926918993256134","0","24.613036304523906","1106948.6638025625"
"01/03/2018 07:49:14.600","28.072933724024164","0","26.586905948820206","1096057.9988429772"
"01/03/2018 07:49:15.600","29.687626562272186","0","30.996934403187524","1505643.0918982113"
"01/03/2018 07:49:16.600","28.126142794329567","1.000077706037759","35.002719711321568","874563.9536191962"
"12/19/2017 15:49:56.554"," ","0","99.447485524483085","909954.33883471566"
"12/19/2017 15:49:57.570","30.769087621005788","0","49.228137267344131","965848.17668332916"
"12/19/2017 15:49:58.586","29.233061644083115","0","19.692247585508909","992111.18715600716"
"12/19/2017 15:49:59.586","28.906363749817999","0","26.999946000107997","1106941.7861164277"
"12/19/2017 15:50:00.601","27.68987985221214","0","23.632125787503668","977046.60855855164"
"01/03/2018 07:49:22.672","99.999942662227937","0","20.999861400914753","996857.42074102303"
"01/03/2018 07:49:23.688","54.231247332335265","0.98452746176907568","275.66768929534118","977911.43722598744"
"01/03/2018 07:49:24.688","33.204662972285334","0","41.003263859803241","921673.36519986985"
"01/03/2018 07:49:25.704","28.462123091080215","0","29.538127075976494","1351538.6656544935"
"01/03/2018 07:49:26.719","27.690542006588814","0","26.572606201849453","1025427.0316233698"
